Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
1.2,2150665782,540,3982714.4,122701.5,47167,181477204,13652791.0,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
1.2,2094186925,2808,745793.1,33903.5,3999,4954099,1206382.7,"void at::native::batch_norm_backward_kernel<c10::Half, c10::Half, float, int>(at::GenericPackedTensorAccessor<const T1, (unsigned long long)3, at::DefaultPtrTraits, T4>, at::GenericPackedTensorAccessor<const T1, (unsigned long long)3, at::DefaultPtrTraits, T4>, at::GenericPackedTensorAccessor<T1, (unsigned long long)3, at::DefaultPtrTraits, T4>, at::GenericPackedTensorAccessor<T2, (unsigned long long)1, at::DefaultPtrTraits, T4>, at::GenericPackedTensorAccessor<T2, (unsigned long long)1, at::DefaultPtrTraits, T4>, at::GenericPackedTensorAccessor<const T2, (unsigned long long)1, at::DefaultPtrTraits, T4>, at::GenericPackedTensorAccessor<const T2, (unsigned long long)1, at::DefaultPtrTraits, T4>, at::GenericPackedTensorAccessor<const T2, (unsigned long long)1, at::DefaultPtrTraits, T4>, at::GenericPackedTensorAccessor<const T3, (unsigned long long)1, at::DefaultPtrTraits, T4>, at::GenericPackedTensorAccessor<const T3, (unsigned long long)1, at::DefaultPtrTraits, T4>, bool, T3)"
1.0,1808591940,1728,1046638.9,663776.5,231642,3653617,1043316.3,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x2_nn_align1>(T1::Params)
0.8,1443516843,432,3341474.2,3343062.0,3192187,4312548,120253.1,"void at::native::<unnamed>::fused_dropout_kernel_vec<float, float, unsigned int, (int)1, (int)2, bool>(at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T6, T3>, T3, T2, at::PhiloxCudaState)"
0.8,1387843114,864,1606299.9,1625179.5,256026,3708902,1341530.1,ampere_fp16_sgemm_fp16_64x64_nn
0.7,1230351872,4428,277857.2,18079.0,1919,10016335,454653.9,"void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)"
0.6,1084831980,864,1255592.6,271897.5,5632,5109574,1862759.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::masked_fill_kernel(at::TensorIterator &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, bool) (instance 1)], std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.6,1057061212,7998,132165.7,2656.0,1120,3143413,333910.8,"void cudnn::engines_precompiled::nhwcToNchwKernel<__half, __half, float, (bool)1, (bool)0, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nhwc2nchw_params_t<T3>, const T1 *, T2 *)"
0.6,1054260307,582,1811443.8,500565.0,5504,7771239,1719476.6,sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x32x32_stage4_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
0.6,990202914,922,1073972.8,494181.0,7487,6673165,1718442.2,sm80_xmma_wgrad_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize32x128x32_stage4_warpsize1x4x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
0.5,955475798,8100,117960.0,5792.0,1215,2906876,346008.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.5,915222443,2808,325933.9,9536.0,1375,1779993,559656.6,"void at::native::batch_norm_transform_input_kernel<c10::Half, c10::Half, float, (bool)1, int>(at::GenericPackedTensorAccessor<const T1, (unsigned long long)3, at::RestrictPtrTraits, T5>, at::GenericPackedTensorAccessor<T1, (unsigned long long)3, at::RestrictPtrTraits, T5>, at::GenericPackedTensorAccessor<std::conditional<T4, T3, T2>::type, (unsigned long long)1, at::RestrictPtrTraits, T5>, at::GenericPackedTensorAccessor<std::conditional<T4, T3, T2>::type, (unsigned long long)1, at::RestrictPtrTraits, T5>, at::GenericPackedTensorAccessor<const T2, (unsigned long long)1, at::RestrictPtrTraits, T5>, at::GenericPackedTensorAccessor<const T2, (unsigned long long)1, at::RestrictPtrTraits, T5>, T3)"
0.5,900246651,864,1041952.1,644193.5,205724,3634000,1048768.8,void cutlass::Kernel2<cutlass_75_tensorop_f16_s1688gemm_f16_128x64_nt_align1>(T1::Params)
0.5,890510574,864,1030683.5,660801.5,191259,3058814,1060595.6,void cutlass::Kernel2<cutlass_75_tensorop_f16_s1688gemm_f16_64x64_nt_align1>(T1::Params)
0.5,879420427,2808,313183.9,10784.0,3552,1796056,532467.6,"void at::native::batch_norm_collect_statistics_kernel<at::native::Var, c10::Half, c10::Half, float, int>(at::GenericPackedTensorAccessor<const T2, (unsigned long long)3, at::RestrictPtrTraits, T5>, T4, T4, at::GenericPackedTensorAccessor<T4, (unsigned long long)1, at::RestrictPtrTraits, T5>, at::GenericPackedTensorAccessor<T4, (unsigned long long)1, at::RestrictPtrTraits, T5>)"
0.5,866290704,864,1002651.3,546467.5,186684,3577331,1055928.5,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x2_tn_align1>(T1::Params)
0.5,846446569,260,3255563.7,3735946.0,15039,7000794,1271224.5,sm80_xmma_wgrad_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize32x256x32_stage3_warpsize1x4x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
0.5,794010380,33264,23870.0,5472.0,1504,530707,52289.1,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.4,766098238,578,1325429.5,173148.0,7743,5987313,2077310.3,sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
0.4,749972189,14364,52211.9,10879.0,1407,6901754,97668.5,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.4,675743880,1330,508078.1,145533.0,6368,4755289,1155705.0,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc8_execute_kernel__5x_cudnn
0.3,588311281,2160,272366.3,6528.0,991,1527227,486027.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::leaky_relu_backward_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(c10::Half, c10::Half) (instance 1)], std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.3,586920959,864,679306.7,162460.5,3264,2942048,993729.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, std::array<char *, (unsigned long long)2>>(int, T2, T3)"
0.3,521260843,236,2208732.4,2314652.5,14528,4297080,541730.5,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc2_execute_kernel__5x_cudnn
0.3,487645815,2700,180609.6,14223.5,1888,1124615,278316.1,"void at::native::<unnamed>::layer_norm_grad_input_kernel_vectorized<float, float>(const T1 *, const T1 *, const T2 *, const T2 *, const T1 *, T1 *, int)"
0.3,482494268,464,1039858.3,686799.5,17984,17745370,1340133.9,sm80_xmma_wgrad_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize32x32x64_stage1_warpsize2x2x1_g1_tensor16x8x16_aligna4_alignc4_execute_kernel__5x_cudnn
0.2,388169730,26352,14730.2,2112.0,735,1959571,49693.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::Half>, std::array<char *, (unsigned long long)1>>(int, T2, T3)"
0.2,382560060,5292,72290.3,7872.0,2239,3789797,156320.8,"void at::native::<unnamed>::fused_dropout_kernel_vec<c10::Half, float, unsigned int, (int)1, (int)8, bool>(at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T6, T3>, T3, T2, at::PhiloxCudaState)"
0.2,373800948,864,432640.0,462166.0,145533,1153414,281644.3,void cutlass::Kernel2<cutlass_75_tensorop_f16_s1688gemm_f16_128x64_nn_align1>(T1::Params)
0.2,360117511,2160,166721.1,4288.0,896,1255076,318777.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::leaky_relu_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(c10::Half) (instance 1)], std::array<char *, (unsigned long long)2>>(int, T2, T3)"
0.2,303987319,216,1407348.7,1392849.5,1380962,1849496,43720.3,"void at::native::reduce_kernel<(int)256, (int)2, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
0.2,300466094,3888,77280.4,19439.5,7391,488758,107873.1,"void at::native::roll_cuda_kernel<float>(const T1 *, T1 *, long long, long long, long long, long long, long long, long long)"
0.1,239726515,1296,184974.2,6208.0,4192,961193,262611.3,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
0.1,238494721,3456,69008.9,23296.0,7840,464246,86632.5,ampere_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_stages_32x1_tn
0.1,223048402,1728,129078.9,31087.0,2367,2250766,178530.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase &, at::native::GeluType)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(c10::Half) (instance 1)], std::array<char *, (unsigned long long)2>>(int, T2, T3)"
0.1,215643025,6,35940504.2,22149136.5,11089304,74994822,30339130.8,"void cudnn::cnn::wgrad2d_grouped_direct_kernel<(bool)1, (bool)1, int, __half, float, float>(cudnn::cnn::WgradGroupedDirectParams, const T4 *, const T4 *, T4 *, T6, T6)"
0.1,213942671,1412,151517.5,146701.0,8416,1327808,126291.8,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_32x1_nn_align8>(T1::Params)
0.1,195559421,700,279370.6,102094.0,5152,8062592,568090.7,sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x32_stage4_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
0.1,183002503,232,788803.9,591235.0,20223,1345343,382642.3,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_32x1_nt_align8>(T1::Params)
0.1,169075770,2592,65229.8,7711.5,1216,530932,119368.3,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::masked_scale_kernel<bool, c10::Half, float>(at::Tensor &, const at::Tensor &, const at::Tensor &, T3)::[lambda(c10::Half, bool) (instance 1)], std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.1,158765847,864,183756.8,46703.0,3104,762382,260438.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::GeluBackwardCUDAKernelImpl(at::TensorIteratorBase &, at::native::GeluType)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(c10::Half, c10::Half) (instance 1)], std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.1,137160432,226,606904.6,14176.0,7392,1707835,607985.4,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_stages_32x1_nn
0.1,136461187,610,223706.9,87710.0,7072,16590677,1200969.0,sm80_xmma_wgrad_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x32x64_stage5_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
0.1,131130589,864,151771.5,145149.0,35551,2252271,135118.1,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x1_tn_align8>(T1::Params)
0.1,119575836,3564,33551.0,9824.0,4639,197276,47247.8,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<c10::Half, at::native::func_wrapper_t<c10::Half, at::native::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, (int)4, (int)4>>(T3)"
0.1,111897746,502,222903.9,105038.0,7264,10454343,782950.8,sm80_xmma_wgrad_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x128x32_stage5_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
0.1,107226985,432,248210.6,237019.0,235291,2051793,90334.4,"void at::native::<unnamed>::GammaBetaBackwardCUDAKernelTemplate<float, float, (unsigned int)32, (unsigned int)1, (unsigned int)32, (bool)1, (bool)0>(long long, long long, const T1 *, const T1 *, const T2 *, const T2 *, T1 *, T1 *)"
0.1,106610804,1728,61696.1,15680.0,3839,485173,80819.4,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::AUnaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,102218341,2054,49765.5,12224.0,4832,413462,91257.5,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_nt
0.1,101725298,402,253048.0,161804.5,6016,12666035,980095.1,sm80_xmma_wgrad_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x64x64_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
0.1,98172518,2592,37875.2,18831.5,7327,339257,40353.1,"void at::native::roll_cuda_kernel<c10::Half>(const T1 *, T1 *, long long, long long, long long, long long, long long, long long)"
0.1,92615343,1944,47641.6,36847.0,3232,1498940,58021.9,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,91457785,864,105853.9,105357.5,102718,399703,10065.4,"void at::native::vectorized_gather_kernel<(int)16, long long>(char *, char *, T2 *, int, long long, long long, long long, long long, bool)"
0.1,90825736,4109,22104.1,2624.0,736,200924,38799.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long long)1>>(int, T2, T3)"
0.1,90512372,240,377134.9,306905.5,13279,4613073,465835.9,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_aligna8_alignc8_execute_kernel__5x_cudnn
0.1,89641149,232,386384.3,542436.0,111934,4015679,398801.6,"void implicit_convolveNd_sgemm<__half, (int)3, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T1 *, const T1 *, kernel_convNd_params, unsigned long long, int, float, float, int, const T1 *, const T1 *, bool, bool)"
0.0,86096976,134,642514.7,529764.5,32991,5542299,674846.0,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x16_stage1_warpsize4x1x1_g1_tensor16x8x16_aligna4_alignc4_execute_kernel__5x_cudnn
0.0,80849566,648,124767.8,130365.0,9407,308536,92548.0,void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_f16_64x64_32x6_nt_align8>(T1::Params)
0.0,73822558,42,1757680.0,251962.0,27296,16018690,3705041.5,sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x32x64_stage5_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
0.0,71556070,278,257395.9,33391.5,6272,11059256,1362263.9,sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x64x64_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
0.0,69667874,50,1393357.5,160012.0,7488,10789535,2908297.2,sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
0.0,67697333,20,3384866.6,773614.0,52927,17501664,5750961.7,sm80_xmma_wgrad_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x64_stage3_warpsize2x2x2_g1_tensor16x8x16_execute_kernel__5x_cudnn
0.0,66488636,648,102605.9,25983.0,18655,288570,113545.2,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_nt
0.0,65855937,36,1829331.6,676895.5,9408,15198294,3709849.5,sm80_xmma_wgrad_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize16x64x64_stage1_warpsize1x4x1_g1_tensor16x8x16_aligna4_alignc4_execute_kernel__5x_cudnn
0.0,60609626,14,4329259.0,1796917.5,39903,15855879,5655288.3,sm80_xmma_wgrad_implicit_gemm_indexed_wo_smem_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize32x16x64_stage1_warpsize2x1x1_g1_tensor16x8x8_aligna8_alignc8_execute_kernel__5x_cudnn
0.0,58022611,112,518059.0,518052.0,434581,559380,21193.7,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_f16_16x16_128x2_tn_align8>(T1::Params)
0.0,57171643,136,420379.7,57055.0,37567,13959507,1884255.7,sm80_xmma_dgrad_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x32_stage4_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
0.0,56672651,114,497128.5,493509.5,404278,607314,29997.8,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_32x1_nn_align8>(T1::Params)
0.0,54256344,864,62796.7,62494.5,59487,338968,9463.8,"void <unnamed>::indexing_backward_kernel_small_stride<float>(const long long *, const long long *, const T1 *, T1 *, long long, long long, long long, long long, bool)"
0.0,50021112,32,1563159.8,709167.0,46719,12914860,3058651.0,sm80_xmma_wgrad_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize16x64x64_stage1_warpsize1x4x1_g1_tensor16x8x16_aligna2_alignc4_execute_kernel__5x_cudnn
0.0,49963775,114,438278.7,425590.5,419414,644274,35669.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_32x1_nn_align2>(T1::Params)
0.0,46277288,34,1361096.7,282745.0,7648,7362127,2184447.3,sm80_xmma_fprop_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x32x32_stage4_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
0.0,45261588,432,104772.2,104734.0,103389,106462,554.4,"void at::native::<unnamed>::GammaBetaBackwardCUDAKernelTemplate<float, float, (unsigned int)32, (unsigned int)32, (unsigned int)256, (bool)0, (bool)0>(long long, long long, const T1 *, const T1 *, const T2 *, const T2 *, T1 *, T1 *)"
0.0,44566568,248,179703.9,74510.0,7743,8323001,838846.3,sm80_xmma_dgrad_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x32_stage4_warpsize4x1x1_g1_tensor16x8x16_strided_execute_kernel__5x_cudnn
0.0,44342356,38,1166904.1,179083.5,7360,6865498,2003111.5,sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x32x32_stage5_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
0.0,40787852,40,1019696.3,122669.0,6944,10638080,2554614.8,sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x64x32_stage5_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
0.0,39623158,108,366881.1,352888.0,346680,461782,31099.9,"void at::native::<unnamed>::cunn_SpatialSoftMaxBackward<c10::Half, float, float, at::native::<unnamed>::SoftMaxBackwardEpilogue>(T1 *, const T3 *, const T3 *, unsigned int, unsigned int, unsigned int)"
0.0,37200760,3024,12301.8,3200.0,1727,112350,21078.6,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,37151121,1188,31272.0,14112.0,3007,361016,71684.1,"void at::native::<unnamed>::GammaBetaBackwardCUDAKernelTemplate<float, float, (unsigned int)32, (unsigned int)32, (unsigned int)256, (bool)0, (bool)1>(long long, long long, const T1 *, const T1 *, const T2 *, const T2 *, T1 *, T1 *)"
0.0,35821001,12231,2928.7,1183.0,927,156125,10176.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.0,34489639,142,242884.8,11328.0,5344,7737191,1029248.0,sm80_xmma_dgrad_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x32x32_stage4_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
0.0,34141536,138,247402.4,104429.5,8096,7751462,911760.3,sm86_xmma_fprop_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x32_stage3_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
0.0,32161487,864,37223.9,37583.0,17472,78751,19785.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_32x1_tn_align8>(T1::Params)
0.0,29452156,22,1338734.4,288537.0,10751,8018785,2421199.8,sm80_xmma_dgrad_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x32x32_stage4_warpsize4x1x1_g1_tensor16x8x16_strided_execute_kernel__5x_cudnn
0.0,28928058,216,133926.2,129916.5,127869,187068,13153.3,ampere_fp16_sgemm_fp16_128x64_tn
0.0,25937314,104,249397.3,30175.5,8704,1262883,394480.7,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListScalarListMetadata<float, (int)3>, at::native::<unnamed>::PointwiseOpScalarListFunctor<float, (int)3, (int)3, (int)0>, std::divides<float>>(T1, T2, T3...)"
0.0,25847412,22,1174882.4,564578.5,86622,4728814,1369664.7,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_aligna8_alignc2_execute_kernel__5x_cudnn
